stateUt _code,stateUt,constituencyNo,constituencyName,candidateName,partyNames,votes,status
S01,Andhra Pradesh,1,Araku,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,477005,Won
S01,Andhra Pradesh,1,Araku,KOTHAPALLI GEETHA,Bharatiya Janata Party,426425,Lost
S01,Andhra Pradesh,1,Araku,APPALANARASA PACHIPENTA,Communist Party of India (Marxist),123129,Lost
S01,Andhra Pradesh,1,Araku,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,25750,Lost
S01,Andhra Pradesh,1,Araku,SAMAREDDY BALAKRISHNA,Independent,9535,Lost
S01,Andhra Pradesh,1,Araku,NIMMAKA JAYARAJU,Independent,9462,Lost
S01,Andhra Pradesh,1,Araku,ATHIDHI,Independent,8136,Lost
S01,Andhra Pradesh,1,Araku,CHANTI BADNAINA,Jai Bharat National Party,7252,Lost
S01,Andhra Pradesh,1,Araku,MOTTADAM . RAJABABU,Bharat Adivasi Party,6766,Lost
S01,Andhra Pradesh,1,Araku,RANJITH KUMAR PALAKA,Independent,6047,Lost
S01,Andhra Pradesh,1,Araku,MANDALA GIRIDHARA RAO,Independent,4967,Lost
S01,Andhra Pradesh,1,Araku,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4959,Lost
S01,Andhra Pradesh,1,Araku,VUYAKA NIREEKSHAN (V. CHENCHU),India Praja Bandhu Party,4542,Lost
S01,Andhra Pradesh,1,Araku,NOTA,NOTA,50470,NOTA
S01,Andhra Pradesh,10,Eluru,PUTTA MAHESH KUMAR,Telugu Desam,746351,Won
S01,Andhra Pradesh,10,Eluru,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,564494,Lost
S01,Andhra Pradesh,10,Eluru,KAVURI LAVANYA,Indian National Congress,20826,Lost
S01,Andhra Pradesh,10,Eluru,AJAY BABU BODA,Navarang Congress Party,12210,Lost
S01,Andhra Pradesh,10,Eluru,NITTA AKHILA DHARANI PAL,Bahujan Samaj Party,6732,Lost
S01,Andhra Pradesh,10,Eluru,BOKINALA KOTESWARA RAO,Independent,2263,Lost
S01,Andhra Pradesh,10,Eluru,RUDRAPAKA RATNA RAO (R.R.R),Andhra Rastra Praja Samithi,1526,Lost
S01,Andhra Pradesh,10,Eluru,KANDAVALLI JEEVA DEVA DAYAKAR,Independent,1180,Lost
S01,Andhra Pradesh,10,Eluru,AGASTEEN KOMMINA,Independent,1004,Lost
S01,Andhra Pradesh,10,Eluru,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),Liberation Congress Party,786,Lost
S01,Andhra Pradesh,10,Eluru,RAJESWARA RAO KONDRU,Bharatheeya Jawan Kisan Party,732,Lost
S01,Andhra Pradesh,10,Eluru,GODUGUPATI VEERA RAGHAVULU,Pyramid Party of India,715,Lost
S01,Andhra Pradesh,10,Eluru,BYRABOYINA MALYADRI,Bharatha Chaitanya Yuvajana Party,715,Lost
S01,Andhra Pradesh,10,Eluru,NOTA,NOTA,22515,NOTA
S01,Andhra Pradesh,11,Machilipatnam,BALASHOWRY VALLABHANENI,Janasena Party,724439,Won
S01,Andhra Pradesh,11,Machilipatnam,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,501260,Lost
S01,Andhra Pradesh,11,Machilipatnam,GOLLU KRISHNA,Indian National Congress,31825,Lost
S01,Andhra Pradesh,11,Machilipatnam,BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party,11141,Lost
S01,Andhra Pradesh,11,Machilipatnam,DEVAMANI DEVARAPALLI,Bahujan Samaj Party,10028,Lost
